x,y,rho,ux,uy
0,0,0.965712,0,0
1,0,0.963685,0.00046411,3.60019e-18
2,0,0.963538,4.24508e-05,3.60074e-18
3,0,0.963617,-1.12931e-05,0
4,0,0.963606,8.97767e-06,0
5,0,0.963575,1.45737e-05,-3.6006e-18
6,0,0.963545,1.71259e-05,-3.60071e-18
7,0,0.963505,2.13832e-05,0
8,0,0.963456,2.52327e-05,0
9,0,0.963401,2.84169e-05,-3.60125e-18
10,0,0.963339,3.12228e-05,0
11,0,0.963272,3.37395e-05,0
12,0,0.9632,3.60217e-05,0
13,0,0.963123,3.81395e-05,0
14,0,0.963042,4.01494e-05,0
15,0,0.962958,4.20899e-05,0
16,0,0.962869,4.39872e-05,3.60324e-18
17,0,0.962776,4.58551e-05,0
18,0,0.96268,4.76954e-05,0
19,0,0.96258,4.94982e-05,0
20,0,0.962476,5.1244e-05,0
21,0,0.962368,5.29044e-05,0
22,0,0.962258,5.44437e-05,0
23,0,0.962144,5.58199e-05,0
24,0,0.962028,5.69867e-05,0
25,0,0.961909,5.78939e-05,0
26,0,0.961789,5.84888e-05,0
27,0,0.961668,5.87177e-05,0
28,0,0.961547,5.85264e-05,0
29,0,0.961427,5.7862e-05,-3.60864e-18
30,0,0.961309,5.66739e-05,-3.60909e-18
31,0,0.961194,5.49152e-05,-3.60952e-18
32,0,0.961083,5.25444e-05,3.60994e-18
33,0,0.960977,4.95274e-05,0
34,0,0.960879,4.58389e-05,0
35,0,0.960788,4.14647e-05,0
36,0,0.960708,3.64033e-05,3.61134e-18
37,0,0.960639,3.06684e-05,-3.6116e-18
38,0,0.960582,2.429e-05,0
39,0,0.960539,1.73164e-05,0
40,0,0.960511,9.81495e-06,0
41,0,0.960498,1.87316e-06,-3.61213e-18
42,0,0.960503,-6.40154e-06,-3.61211e-18
43,0,0.960525,-1.48821e-05,-3.61203e-18
44,0,0.960564,-2.3423e-05,0
45,0,0.960621,-3.18625e-05,0
46,0,0.960696,-4.0025e-05,-3.61139e-18
47,0,0.960787,-4.77249e-05,3.61105e-18
48,0,0.960893,-5.47708e-05,0
49,0,0.961012,-6.09706e-05,0
50,0,0.961144,-6.61368e-05,0
51,0,0.961285,-7.00927e-05,0
52,0,0.961433,-7.26789e-05,0
53,0,0.961585,-7.37589e-05,0
54,0,0.961738,-7.32255e-05,3.60748e-18
55,0,0.961888,-7.10063e-05,0
56,0,0.962031,-6.70682e-05,0
57,0,0.962165,-6.14212e-05,3.60588e-18
58,0,0.962285,-5.41204e-05,3.60543e-18
59,0,0.962388,-4.52674e-05,3.60504e-18
60,0,0.962472,-3.50088e-05,0
61,0,0.962533,-2.3534e-05,0
62,0,0.96257,-1.10706e-05,0
63,0,0.962579,2.12188e-06,0
64,0,0.962561,1.57591e-05,-3.60439e-18
65,0,0.962514,2.95413e-05,0
66,0,0.962439,4.31628e-05,0
67,0,0.962336,5.6322e-05,0
68,0,0.962207,6.87321e-05,0
69,0,0.962053,8.01302e-05,-3.6063e-18
70,0,0.961876,9.02864e-05,-3.60696e-18
71,0,0.96168,9.90109e-05,0
72,0,0.961468,0.00010616,0
73,0,0.961242,0.000111637,0
74,0,0.961008,0.0001154,0
75,0,0.960767,0.000117451,-3.61112e-18
76,0,0.960524,0.000117842,0
77,0,0.960281,0.000116665,0
78,0,0.960043,0.000114047,0
79,0,0.959812,0.000110143,-3.61472e-18
80,0,0.95959,0.000105127,0
81,0,0.959379,9.91819e-05,3.61635e-18
82,0,0.959182,9.24934e-05,0
83,0,0.958999,8.52408e-05,0
84,0,0.958832,7.759e-05,-3.61841e-18
85,0,0.95868,6.9687e-05,0
86,0,0.958545,6.16521e-05,0
87,0,0.958427,5.3577e-05,0
88,0,0.958325,4.55303e-05,0
89,0,0.95824,3.75551e-05,3.62064e-18
90,0,0.958171,2.96484e-05,3.6209e-18
91,0,0.958119,2.1823e-05,3.6211e-18
92,0,0.958082,1.43551e-05,3.62124e-18
93,0,0.95806,6.91772e-06,-3.62133e-18
94,0,0.958053,-2.65637e-06,0
95,0,0.958072,-8.52297e-06,-3.62128e-18
96,0,0.958093,4.22661e-06,0
97,0,0.95803,-6.55797e-05,0
98,0,0.958243,-0.000547866,0
99,0,0.960577,0,-3.61184e-18
0,1,0.963679,0,0.000471263
1,1,0.963589,0.000302815,0.000276231
2,1,0.963676,0.000330414,0.000123766
3,1,0.963634,0.000301019,8.38368e-06
4,1,0.963586,0.000308746,-1.38429e-05
5,1,0.963561,0.000360022,-2.81329e-05
6,1,0.963534,0.000422518,-3.00946e-05
7,1,0.963497,0.000476142,-2.34104e-05
8,1,0.963451,0.000514665,-1.44033e-05
9,1,0.963399,0.000536275,-4.96546e-06
10,1,0.963341,0.000539731,4.80159e-06
11,1,0.963277,0.000524231,1.47063e-05
12,1,0.963209,0.000489527,2.45387e-05
13,1,0.963136,0.000435706,3.42117e-05
14,1,0.963059,0.000362958,4.37268e-05
15,1,0.962977,0.000271447,5.31301e-05
16,1,0.962892,0.000161249,6.24924e-05
17,1,0.962803,3.23215e-05,7.18945e-05
18,1,0.96271,-0.000115508,8.1416e-05
19,1,0.962614,-0.000282532,9.11266e-05
20,1,0.962514,-0.000469141,0.00010108
21,1,0.96241,-0.000675788,0.000111308
22,1,0.962303,-0.000902948,0.000121819
23,1,0.962194,-0.00115107,0.000132595
24,1,0.962082,-0.00142052,0.000143593
25,1,0.961967,-0.00171156,0.00015474
26,1,0.961851,-0.00202424,0.000165943
27,1,0.961734,-0.00235843,0.000177081
28,1,0.961617,-0.00271372,0.000188012
29,1,0.961501,-0.00308939,0.000198574
30,1,0.961386,-0.00348439,0.000208587
31,1,0.961274,-0.00389731,0.000217856
32,1,0.961166,-0.00432632,0.00022617
33,1,0.961063,-0.00476921,0.00023331
34,1,0.960966,-0.00522333,0.00023905
35,1,0.960877,-0.00568559,0.000243161
36,1,0.960797,-0.0061525,0.000245417
37,1,0.960727,-0.00662016,0.000245596
38,1,0.960669,-0.00708425,0.00024349
39,1,0.960624,-0.00754013,0.000238909
40,1,0.960593,-0.00798284,0.000231687
41,1,0.960576,-0.00840719,0.000221686
42,1,0.960576,-0.00880777,0.000208806
43,1,0.960592,-0.00917908,0.000192988
44,1,0.960624,-0.00951563,0.000174221
45,1,0.960673,-0.00981195,0.000152542
46,1,0.960738,-0.0100628,0.000128049
47,1,0.960819,-0.0102632,0.000100896
48,1,0.960914,-0.0104085,7.1297e-05
49,1,0.961022,-0.0104947,3.95289e-05
50,1,0.961142,-0.0105182,5.92808e-06
51,1,0.961271,-0.0104764,-2.91112e-05
52,1,0.961406,-0.0103671,-6.5141e-05
53,1,0.961545,-0.0101893,-0.000101666
54,1,0.961684,-0.00994297,-0.000138152
55,1,0.961821,-0.00962884,-0.000174033
56,1,0.961953,-0.00924887,-0.000208725
57,1,0.962075,-0.00880602,-0.000241639
58,1,0.962184,-0.0083043,-0.000272193
59,1,0.962278,-0.00774874,-0.000299826
60,1,0.962353,-0.0071453,-0.000324018
61,1,0.962407,-0.00650084,-0.0003443
62,1,0.962438,-0.00582295,-0.000360271
63,1,0.962444,-0.00511987,-0.000371613
64,1,0.962423,-0.00440028,-0.000378098
65,1,0.962376,-0.00367322,-0.000379603
66,1,0.962302,-0.00294779,-0.00037611
67,1,0.962202,-0.00223308,-0.000367714
68,1,0.962077,-0.00153789,-0.00035462
69,1,0.961929,-0.000870581,-0.000337138
70,1,0.96176,-0.000238891,-0.000315675
71,1,0.961572,0.000350224,-0.000290722
72,1,0.96137,0.000890735,-0.000262841
73,1,0.961155,0.00137765,-0.000232642
74,1,0.960931,0.00180708,-0.000200769
75,1,0.960702,0.00217632,-0.000167878
76,1,0.960471,0.00248381,-0.000134612
77,1,0.96024,0.00272918,-0.000101587
78,1,0.960013,0.0029131,-6.93695e-05
79,1,0.959793,0.00303728,-3.84654e-05
80,1,0.959582,0.00310429,-9.30435e-06
81,1,0.959381,0.00311748,1.77666e-05
82,1,0.959193,0.00308079,4.24871e-05
83,1,0.959018,0.00299861,6.46827e-05
84,1,0.958858,0.00287564,8.42589e-05
85,1,0.958713,0.00271677,0.00010119
86,1,0.958583,0.00252693,0.000115503
87,1,0.95847,0.00231106,0.000127254
88,1,0.958372,0.00207405,0.000136502
89,1,0.958289,0.00182075,0.000143303
90,1,0.958222,0.00155598,0.000147655
91,1,0.95817,0.00128466,0.000149293
92,1,0.958133,0.00101256,0.00014738
93,1,0.958109,0.00074685,0.00014279
94,1,0.958097,0.000492673,0.000140424
95,1,0.958105,0.000243127,0.000142154
96,1,0.958161,-1.72411e-05,0.000137165
97,1,0.958222,-0.000254208,0.000223918
98,1,0.95814,-0.000331884,0.000331919
99,1,0.958248,0,0.000532369
0,2,0.963506,0,4.85054e-05
1,2,0.96367,0.000195889,0.000209756
2,2,0.963666,0.000308802,7.16343e-05
3,2,0.963589,0.000387336,-2.83458e-05
4,2,0.963582,0.000484129,-7.54076e-05
5,2,0.963567,0.000581335,-9.86945e-05
6,2,0.963533,0.000661297,-9.23176e-05
7,2,0.963494,0.000723734,-6.97129e-05
8,2,0.963451,0.000763631,-3.93647e-05
9,2,0.963402,0.000773577,-4.77825e-06
10,2,0.963347,0.000749455,3.19642e-05
11,2,0.963287,0.000689785,6.95325e-05
12,2,0.963222,0.000593954,0.000107241
13,2,0.963152,0.000461651,0.000144777
14,2,0.963078,0.000292771,0.000182056
15,2,0.963,8.72899e-05,0.000219156
16,2,0.962919,-0.000154874,0.000256258
17,2,0.962833,-0.000433933,0.000293586
18,2,0.962744,-0.000750246,0.000331363
19,2,0.962651,-0.00110431,0.00036978
20,2,0.962555,-0.00149672,0.000408971
21,2,0.962455,-0.00192809,0.000448996
22,2,0.962352,-0.00239903,0.000489829
23,2,0.962246,-0.00291,0.000531351
24,2,0.962137,-0.00346126,0.000573345
25,2,0.962026,-0.0040528,0.000615503
26,2,0.961913,-0.0046842,0.000657424
27,2,0.9618,-0.0053546,0.000698621
28,2,0.961686,-0.00606261,0.000738531
29,2,0.961572,-0.00680625,0.00077652
30,2,0.961459,-0.00758288,0.000811895
31,2,0.961349,-0.00838917,0.000843914
32,2,0.961243,-0.00922108,0.000871795
33,2,0.96114,-0.0100738,0.000894733
34,2,0.961044,-0.0109418,0.000911915
35,2,0.960955,-0.0118189,0.000922531
36,2,0.960873,-0.012698,0.000925796
37,2,0.960802,-0.0135715,0.00092097
38,2,0.960741,-0.0144313,0.00090737
39,2,0.960693,-0.0152685,0.000884398
40,2,0.960658,-0.0160741,0.000851559
41,2,0.960636,-0.0168387,0.000808478
42,2,0.96063,-0.0175527,0.000754921
43,2,0.96064,-0.0182064,0.000690811
44,2,0.960665,-0.0187905,0.000616246
45,2,0.960706,-0.0192959,0.000531506
46,2,0.960763,-0.0197137,0.000437067
47,2,0.960834,-0.0200361,0.000333605
48,2,0.96092,-0.0202558,0.000221996
49,2,0.961019,-0.0203666,0.000103318
50,2,0.961128,-0.0203634,-2.11614e-05
51,2,0.961247,-0.0202424,-0.000149995
52,2,0.961372,-0.0200011,-0.000281572
53,2,0.961501,-0.0196388,-0.000414143
54,2,0.961631,-0.0191559,-0.000545848
55,2,0.961758,-0.018555,-0.000674744
56,2,0.961881,-0.0178399,-0.000798848
57,2,0.961994,-0.0170164,-0.000916173
58,2,0.962096,-0.0160919,-0.00102478
59,2,0.962183,-0.0150751,-0.0011228
60,2,0.962253,-0.0139765,-0.00120852
61,2,0.962302,-0.0128078,-0.00128041
62,2,0.962328,-0.0115817,-0.00133713
63,2,0.962331,-0.0103122,-0.00137766
64,2,0.962309,-0.00901379,-0.00140123
65,2,0.962261,-0.00770142,-0.00140745
66,2,0.962188,-0.00639035,-0.00139623
67,2,0.96209,-0.00509571,-0.00136787
68,2,0.961968,-0.00383228,-0.00132304
69,2,0.961824,-0.00261418,-0.00126272
70,2,0.96166,-0.00145463,-0.00118823
71,2,0.961478,-0.000365635,-0.00110119
72,2,0.961282,0.000642172,-0.00100344
73,2,0.961075,0.00155976,-0.00089701
74,2,0.960859,0.00237985,-0.000784061
75,2,0.960638,0.003097,-0.000666809
76,2,0.960416,0.00370764,-0.000547465
77,2,0.960194,0.00421011,-0.00042817
78,2,0.959976,0.00460458,-0.000310932
79,2,0.959765,0.00489293,-0.000197572
80,2,0.959562,0.00507863,-8.96846e-05
81,2,0.95937,0.00516653,1.13964e-05
82,2,0.959189,0.00516267,0.000104616
83,2,0.959022,0.00507404,0.000189197
84,2,0.958868,0.00490836,0.000264629
85,2,0.958729,0.00467388,0.00033063
86,2,0.958605,0.0043792,0.000387097
87,2,0.958496,0.00403311,0.000434044
88,2,0.958401,0.00364456,0.000471503
89,2,0.958322,0.00322266,0.000499396
90,2,0.958257,0.00277702,0.000517441
91,2,0.958205,0.00231771,0.000525246
92,2,0.958167,0.00185399,0.000521977
93,2,0.958146,0.00139455,0.00050718
94,2,0.95814,0.00095519,0.00048376
95,2,0.958133,0.000562358,0.000459994
96,2,0.958133,0.000227322,0.000417638
97,2,0.95823,-3.67396e-05,0.000391212
98,2,0.958253,-0.000138673,0.000361736
99,2,0.958095,0,3.84775e-05
0,3,0.963583,0,-1.53944e-05
1,3,0.963632,0.000101516,3.4425e-05
2,3,0.963595,0.000268062,-7.09798e-05
3,3,0.963607,0.000426126,-0.000128476
4,3,0.9636,0.000554732,-0.000179458
5,3,0.963566,0.000657988,-0.000187605
6,3,0.963534,0.00074098,-0.000159958
7,3,0.9635,0.000795245,-0.000110243
8,3,0.963459,0.000810021,-4.53608e-05
9,3,0.963411,0.000779913,2.8761e-05
10,3,0.963358,0.000701965,0.000107685
11,3,0.963301,0.000573764,0.000188911
12,3,0.963238,0.000393683,0.000271064
13,3,0.963172,0.000160898,0.000353405
14,3,0.963101,-0.000125024,0.000435669
15,3,0.963027,-0.000464424,0.000517929
16,3,0.962949,-0.000857672,0.000600448
17,3,0.962866,-0.00130522,0.000683575
18,3,0.962781,-0.00180762,0.00076766
19,3,0.962691,-0.0023655,0.000852987
20,3,0.962598,-0.00297951,0.000939723
21,3,0.962501,-0.00365025,0.00102788
22,3,0.962402,-0.00437817,0.0011173
23,3,0.962299,-0.00516345,0.00120761
24,3,0.962193,-0.00600586,0.00129827
25,3,0.962085,-0.00690472,0.00138852
26,3,0.961975,-0.00785871,0.00147743
27,3,0.961863,-0.00886583,0.00156389
28,3,0.961751,-0.00992324,0.00164663
29,3,0.961639,-0.0110273,0.00172427
30,3,0.961527,-0.0121733,0.00179529
31,3,0.961418,-0.0133558,0.0018581
32,3,0.961311,-0.0145681,0.00191106
33,3,0.961208,-0.0158026,0.0019525
34,3,0.961111,-0.0170509,0.00198076
35,3,0.961019,-0.0183035,0.00199422
36,3,0.960936,-0.0195501,0.00199134
37,3,0.960861,-0.0207796,0.00197072
38,3,0.960797,-0.0219804,0.0019311
39,3,0.960743,-0.0231401,0.00187143
40,3,0.960703,-0.0242464,0.00179089
41,3,0.960676,-0.0252864,0.00168894
42,3,0.960663,-0.0262475,0.00156535
43,3,0.960666,-0.0271171,0.00142022
44,3,0.960684,-0.0278833,0.00125398
45,3,0.960717,-0.0285344,0.00106747
46,3,0.960766,-0.02906,0.000861889
47,3,0.96083,-0.0294503,0.000638824
48,3,0.960907,-0.0296971,0.000400245
49,3,0.960998,-0.0297932,0.000148486
50,3,0.961099,-0.0297332,-0.000113771
51,3,0.961209,-0.0295134,-0.000383526
52,3,0.961327,-0.0291319,-0.000657501
53,3,0.961448,-0.0285885,-0.000932182
54,3,0.961571,-0.0278852,-0.00120388
55,3,0.961692,-0.0270261,-0.00146877
56,3,0.961808,-0.026017,-0.00172301
57,3,0.961916,-0.024866,-0.00196275
58,3,0.962013,-0.023583,-0.00218424
59,3,0.962096,-0.0221797,-0.00238396
60,3,0.962161,-0.0206696,-0.0025586
61,3,0.962207,-0.0190678,-0.00270524
62,3,0.962232,-0.0173906,-0.00282137
63,3,0.962233,-0.0156556,-0.00290499
64,3,0.96221,-0.0138811,-0.00295466
65,3,0.962162,-0.0120862,-0.00296956
66,3,0.96209,-0.0102901,-0.00294953
67,3,0.961993,-0.00851201,-0.00289508
68,3,0.961872,-0.00677086,-0.00280739
69,3,0.961731,-0.00508482,-0.00268831
70,3,0.96157,-0.00347106,-0.0025403
71,3,0.961393,-0.00194542,-0.00236638
72,3,0.961201,-0.00052215,-0.00217006
73,3,0.960999,0.000786342,-0.00195523
74,3,0.960789,0.00196972,-0.00172606
75,3,0.960574,0.00301984,-0.00148686
76,3,0.960357,0.0039309,-0.00124202
77,3,0.960142,0.00469941,-0.000995794
78,3,0.959932,0.00532425,-0.000752263
79,3,0.959727,0.00580652,-0.000515187
80,3,0.959531,0.00614946,-0.000287927
81,3,0.959346,0.00635823,-7.33728e-05
82,3,0.959172,0.00643969,0.000126095
83,3,0.959011,0.00640218,0.000308623
84,3,0.958864,0.00625522,0.000472861
85,3,0.95873,0.0060093,0.000617909
86,3,0.958611,0.00567563,0.000743219
87,3,0.958506,0.00526604,0.000848471
88,3,0.958416,0.00479284,0.000933414
89,3,0.958339,0.00426873,0.000997655
90,3,0.958276,0.00370677,0.00104038
91,3,0.958227,0.00312094,0.00106048
92,3,0.95819,0.0025273,0.0010569
93,3,0.958163,0.00194268,0.001028
94,3,0.958154,0.0013821,0.000970046
95,3,0.958167,0.000868198,0.000886347
96,3,0.958165,0.000444019,0.000769757
97,3,0.958159,0.000154701,0.000577827
98,3,0.958224,1.82207e-05,0.000360893
99,3,0.958214,0,-2.75326e-05
0,4,0.963591,0,-5.60886e-06
1,4,0.963603,8.53468e-05,-0.000125427
2,4,0.96361,0.000235563,-0.00021745
3,4,0.963622,0.000389165,-0.000270115
4,4,0.963596,0.000523684,-0.000298518
5,4,0.963572,0.000628365,-0.000273747
6,4,0.963547,0.000693569,-0.000211973
7,4,0.963511,0.000710337,-0.000119982
8,4,0.96347,0.000674097,-6.29548e-06
9,4,0.963424,0.000580725,0.000120937
10,4,0.963374,0.000425751,0.000256202
11,4,0.963319,0.000206017,0.000395969
12,4,0.963259,-8.02806e-05,0.00053796
13,4,0.963196,-0.000434334,0.000680941
14,4,0.963128,-0.000857078,0.000824429
15,4,0.963057,-0.00134928,0.000968428
16,4,0.962981,-0.00191164,0.00111322
17,4,0.962902,-0.00254485,0.00125921
18,4,0.96282,-0.00324962,0.00140681
19,4,0.962733,-0.00402662,0.00155629
20,4,0.962643,-0.00487644,0.00170775
21,4,0.962549,-0.00579944,0.00186101
22,4,0.962452,-0.00679565,0.00201562
23,4,0.962351,-0.00786466,0.0021708
24,4,0.962248,-0.00900545,0.00232544
25,4,0.962142,-0.0102163,0.00247811
26,4,0.962033,-0.0114945,0.00262711
27,4,0.961923,-0.0128367,0.00277045
28,4,0.961811,-0.014238,0.00290589
29,4,0.961699,-0.0156929,0.00303102
30,4,0.961587,-0.0171945,0.00314327
31,4,0.961476,-0.0187345,0.00323994
32,4,0.961368,-0.0203037,0.00331833
33,4,0.961263,-0.0218917,0.00337571
34,4,0.961162,-0.023487,0.00340942
35,4,0.961067,-0.0250772,0.00341693
36,4,0.960979,-0.0266487,0.0033959
37,4,0.9609,-0.0281876,0.00334426
38,4,0.96083,-0.0296793,0.00326022
39,4,0.960771,-0.0311087,0.00314238
40,4,0.960724,-0.0324607,0.00298977
41,4,0.96069,-0.0337203,0.00280188
42,4,0.96067,-0.0348726,0.00257872
43,4,0.960665,-0.0359034,0.00232084
44,4,0.960675,-0.0367992,0.00202935
45,4,0.960701,-0.0375473,0.00170597
46,4,0.960742,-0.0381364,0.00135296
47,4,0.960798,-0.0385564,0.000973199
48,4,0.960868,-0.0387988,0.000570096
49,4,0.960951,-0.0388567,0.000147599
50,4,0.961046,-0.0387251,-0.000289856
51,4,0.96115,-0.038401,-0.000737393
52,4,0.961261,-0.0378834,-0.00118976
53,4,0.961378,-0.0371733,-0.00164139
54,4,0.961496,-0.0362741,-0.00208651
55,4,0.961613,-0.0351911,-0.00251918
56,4,0.961725,-0.0339319,-0.00293345
57,4,0.96183,-0.0325062,-0.00332341
58,4,0.961925,-0.0309257,-0.00368336
59,4,0.962005,-0.0292039,-0.00400787
60,4,0.96207,-0.0273565,-0.00429194
61,4,0.962115,-0.0254004,-0.00453109
62,4,0.962139,-0.0233543,-0.0047215
63,4,0.96214,-0.0212379,-0.00486006
64,4,0.962117,-0.0190719,-0.00494455
65,4,0.96207,-0.0168778,-0.00497362
66,4,0.961998,-0.0146775,-0.00494694
67,4,0.961902,-0.0124928,-0.00486515
68,4,0.961784,-0.0103454,-0.00472994
69,4,0.961644,-0.00825635,-0.00454399
70,4,0.961486,-0.00624571,-0.00431094
71,4,0.961311,-0.00433226,-0.00403531
72,4,0.961122,-0.0025332,-0.00372237
73,4,0.960923,-0.000863795,-0.00337807
74,4,0.960717,0.000662818,-0.00300879
75,4,0.960506,0.00203588,-0.00262126
76,4,0.960294,0.00324714,-0.00222234
77,4,0.960084,0.00429098,-0.00181883
78,4,0.959878,0.00516441,-0.00141728
