x,y,rho,ux,uy
0,0,1.00314,0,-3.45857e-18
1,0,1.00343,-5.57959e-05,-3.4576e-18
2,0,1.00348,-1.96679e-05,0
3,0,1.00349,-1.04571e-06,0
4,0,1.00348,8.94931e-06,3.45741e-18
5,0,1.00346,1.59947e-05,-3.45748e-18
6,0,1.00343,2.1346e-05,0
7,0,1.00339,2.56293e-05,0
8,0,1.00334,2.9244e-05,3.45791e-18
9,0,1.00328,3.24417e-05,0
10,0,1.00322,3.53694e-05,-3.45831e-18
11,0,1.00316,3.81131e-05,0
12,0,1.00308,4.07231e-05,3.45878e-18
13,0,1.00301,4.32275e-05,3.45904e-18
14,0,1.00293,4.56403e-05,-3.45931e-18
15,0,1.00284,4.79664e-05,0
16,0,1.00276,5.02053e-05,0
17,0,1.00266,5.23538e-05,-3.46023e-18
18,0,1.00257,5.44076e-05,0
19,0,1.00247,5.6363e-05,3.46091e-18
20,0,1.00236,5.82171e-05,0
21,0,1.00226,5.99688e-05,0
22,0,1.00214,6.16188e-05,0
23,0,1.00203,6.31699e-05,-3.46242e-18
24,0,1.00191,6.46269e-05,3.46282e-18
25,0,1.00179,6.59965e-05,-3.46323e-18
26,0,1.00167,6.72876e-05,0
27,0,1.00155,6.85107e-05,-3.46409e-18
28,0,1.00142,6.96783e-05,0
29,0,1.00129,7.08036e-05,0
30,0,1.00116,7.1901e-05,0
31,0,1.00102,7.29854e-05,0
32,0,1.00088,7.40713e-05,0
33,0,1.00074,7.51726e-05,0
34,0,1.0006,7.6302e-05,-3.46737e-18
35,0,1.00045,7.74702e-05,0
36,0,1.00031,7.86857e-05,3.46839e-18
37,0,1.00015,7.99537e-05,-3.46891e-18
38,0,0.999999,8.12764e-05,0
39,0,0.999841,8.26523e-05,-3.47e-18
40,0,0.999679,8.40757e-05,3.47056e-18
41,0,0.999514,8.55373e-05,3.47113e-18
42,0,0.999345,8.70236e-05,3.47172e-18
43,0,0.999173,8.85176e-05,0
44,0,0.998996,8.99988e-05,-3.47293e-18
45,0,0.998816,9.14437e-05,-3.47356e-18
46,0,0.998632,9.28266e-05,-3.4742e-18
47,0,0.998445,9.412e-05,0
48,0,0.998254,9.52957e-05,-3.47552e-18
49,0,0.99806,9.63252e-05,3.47619e-18
50,0,0.997863,9.71808e-05,0
51,0,0.997663,9.78362e-05,0
